"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"1st-generation EGFR TKIs + IGF-1R inhibitor:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + IGF-1R inhibitor:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + MET inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:1st-generation EGFR TKIs + MET inhibitor",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + MET inhibitor:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:1st-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:2nd-generation EGFR TKIs",0,"No concerns","Low risk","No concerns","No concerns","Major concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","No concerns","Some concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + antiangiogenesis:Placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:2nd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:2nd-generation EGFR TKIs + Cetuximab",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"1st-generation EGFR TKIs + chemotherapy:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:3rd-generation EGFR TKIs",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:3rd-generation EGFR TKIs + antiangiogenesis",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:3rd-generation EGFR TKIs",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:3rd-generation EGFR TKIs + antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","Major concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"2nd-generation EGFR TKIs + Cetuximab:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + antiangiogenesis:3rd-generation EGFR TKIs + chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + antiangiogenesis:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + antiangiogenesis:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + antiangiogenesis:Placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + chemotherapy:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + chemotherapy:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + chemotherapy:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Antiangiogenesis:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Antiangiogenesis:Placebo",0,"Some concerns","Low risk","No concerns","No concerns","Major concerns","No concerns","High","[]"
"Chemotherapy:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
